"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>\n\tBroad Lane Medical Centre She...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","error","<form method=\"post\" action=\"surgerydetails.aspx\" id=\"mainform\">\n<input type=\"hidden\" name=\"Rad...</form>","#mainform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form method=\"post\" action=\"surgerydetails.aspx\" id=\"mainform\">\n<input type=\"hidden\" name=\"Rad...</form>","#mainform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form method=\"post\" action=\"surgerydetails.aspx\" id=\"mainform\">\n<input type=\"hidden\" name=\"Rad...</form>","#mainform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form method=\"post\" action=\"surgerydetails.aspx\" id=\"mainform\">\n<input type=\"hidden\" name=\"Rad...</form>","#mainform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form method=\"post\" action=\"surgerydetails.aspx\" id=\"mainform\">\n<input type=\"hidden\" name=\"Rad...</form>","#mainform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form method=\"post\" action=\"surgerydetails.aspx\" id=\"mainform\">\n<input type=\"hidden\" name=\"Rad...</form>","#mainform"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"Radscriptmanager1_TSM\" id=\"Radscriptmanager1_TSM\" value=\";;System.Web.Extensions, Version=4.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35:en-US:b7585254-495e-4311-9545-1f910247aca5:ea597d4b;Telerik.Web.UI, Version...","#Radscriptmanager1_TSM"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"__VIEWSTATE\" id=\"__VIEWSTATE\" value=\"/wEPDwUKMTQ1OTAxMDcwMg9kFgJmD2QWBAIBD2QWCAIDDxYCHgdjb250ZW50ZGQCBA8WAh8AZGQCBQ8WAh4EaHJlZgUiaHR0cHM6Ly93d3cub25lbWVkaWNhbGdyb3VwLmNvLnVrL2QCBw8VAR1jc3Mvb25lbWVkaWNhbC5jc3M/MTU1MDU2OTAzNW...","#__VIEWSTATE"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"__VIEWSTATEGENERATOR\" id=\"__VIEWSTATEGENERATOR\" value=\"B8A2B5D0\">","#__VIEWSTATEGENERATOR"
